Department,Sub-Department,Major Functions,% of Budget,Activity Indicators,2011/2012,2012/2013,2013/2014
FINANCE,Bureau of Treasury,Central Mailing and Messenger,28%,Certified Mail @ $3.40,7000,7000,12000
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Applications Processed & Licenses Issued (Including Bingo licenses),1950,2500,2500
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Bingo Receipts,350,400,400
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Games of Chance Licenses,30,30,30
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Games of Chance Receipts,50,20,20
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Hearings,20,25,25
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Miscellaneous Deposits,150,250,250
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,"Deposit 2%, 3% & 5% from Bingo",91,100,100
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Bingo-Games/Chance Deposits,60,60,60
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Fee NYS Bingo-Games/Chance Receipts,65,65,65
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Weekly Bingo Inspections,450,450,430
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Phone Calls-Incoming/Outgoing,6000,6500,6500
FINANCE,Bureau of Treasury,Licensing and Inspection,6%,Counter Contact,3000,3300,3300
FINANCE,Bureau of Accounts,General Accounting System,34%,"Maintains General Ledger, Subsidiary Ledgers and Journals of the City and the computerized City Accounting System",N/A,N/A,N/A
FINANCE,Bureau of Accounts,General Accounting System,34%,Bank Accounts Maintained,27,27,27
FINANCE,Bureau of Accounts,General Accounting System,34%,Reconciliation of Warrants Issued,16000,16000,16000
FINANCE,Bureau of Accounts,General Accounting System,34%,Maintain Accounts Associated with Preparation of Monthly/Year End Financial Statements (includes appropriations),2500,2500,2000
FINANCE,Bureau of Accounts,General Accounting System,34%,Monitors and Maintains Appropriated Accounts,N/A,N/A,N/A
FINANCE,Bureau of Accounts,Accounts Payable,16%,Purchase Orders Processed,17000,5536,5570
FINANCE,Bureau of Accounts,Accounts Payable,16%,Purchase Orders Canceled/Adjusted,250,250,250
FINANCE,Bureau of Accounts,Accounts Payable,16%,Claims Processed/Adjusted,19000,16250,15500
FINANCE,Bureau of Accounts,Accounts Payable,16%,Checks Issued/Adjusted,16000,16000,12500
FINANCE,Bureau of Accounts,Payroll Distribution,12%,Payroll Reconciliation,105500,105500,105500
FINANCE,Bureau of Accounts,Payroll Distribution,12%,Payrolls Verified and Distributed,3330,3330,2500
FINANCE,Bureau of Accounts,Payroll Distribution,12%,Payroll Checks Processed,"45,308","45,308",35000
FINANCE,Bureau of Accounts,Payroll Distribution,12%,Supplemental Payroll Checks,170,160,260
FINANCE,Bureau of Accounts,Payroll Distribution,12%,Direct Payroll Deposits,"76,232","76,232",75500
FINANCE,Bureau of Accounts,Retirement & Payroll Deductions,11%,Garnishee of Wages Processed,3100,3100,2800
FINANCE,Bureau of Accounts,Retirement & Payroll Deductions,11%,Support Payments Processed,13000,13000,13500
FINANCE,Bureau of Accounts,Retirement & Payroll Deductions,11%,U.S. Savings Bonds Processed,500,500,0
FINANCE,Bureau of Accounts,Retirement & Payroll Deductions,11%,Reconciliation of Monthly Retirement Holdings,1860,1860,1500
FINANCE,Bureau of Accounts,Retirement & Payroll Deductions,11%,NYS Retirement Loans,225,225,450
FINANCE,Bureau of Accounts,Retirement & Payroll Deductions,11%,College Savings Program,390,390,390
FINANCE,Bureau of Accounts,Supervision & Administration,27%,Investment Transactions,N/A,N/A,N/A
FINANCE,Bureau of Accounts,Supervision & Administration,27%,Administration & Issuance of Debt,N/A,N/A,N/A
FINANCE,Bureau of Accounts,Supervision & Administration,27%,Capital Projects,N/A,N/A,N/A
FINANCE,Bureau of Accounts,Supervision & Administration,27%,Maintaining Daily Operations,N/A,N/A,N/A
FINANCE,Bureau of Accounts,Supervision & Administration,27%,Supervision & Administration of Staff,N/A,N/A,N/A
FINANCE,Bureau of Accounts,Supervision & Administration,27%,State & Federal Grants,N/A,N/A,N/A
FINANCE,Parking Violations Bureau,Collection & Processing,67%,Data Entry of Manually Issued Parking Tickets,"42,761",44000,44000
FINANCE,Parking Violations Bureau,Collection & Processing,67%,Entry of Digital Tickets,"67,452",75000,80000
FINANCE,Parking Violations Bureau,Collection & Processing,67%,Notices Sent,"147,024",150000,150000
FINANCE,Parking Violations Bureau,Collection & Processing,67%,Number of Tickets sent to Collection Agency,"22,067",21000,21000
FINANCE,Parking Violations Bureau,Collection & Processing,67%,Number of Default Judgments Filed,81,120,130
FINANCE,Parking Violations Bureau,Adjudication of Tickets,33%,Number of Mail Hearings,6972,8000,8000
FINANCE,Parking Violations Bureau,Adjudication of Tickets,33%,Number of Live Hearings,2102,2400,2400
AUDIT,-,Administration,25%,"Operational Expenses Including Supplies, Office Machines, etc.",N/A,N/A,N/A
AUDIT,-,Audit Projects,75%,"Financial and Performance Audits, Examinations and Reviews",9,8,8
AUDIT,-,Audit Projects,75%,Special Projects,3,3,4
CITY CLERK'S OFFICE,-,Legislative: Common Council Duties,45%,"Council Ordinances, Resolutions, and Local Laws Processed",781,785,785
CITY CLERK'S OFFICE,-,Licensing,55%,Marriage Licenses Issued,"1,392","1,363","1,377"
CITY CLERK'S OFFICE,-,Licensing,55%,Marriage Certificates Issued,"1,237","1,143",1190
CITY CLERK'S OFFICE,-,Licensing,55%,Marriage Transcripts Issued,907,900,903
CITY CLERK'S OFFICE,-,Licensing,55%,Dog Licenses Issued,"2,657","2,499","2,578"
CITY CLERK'S OFFICE,-,Licensing,55%,Conservation Licenses Issued,142,136,139
CITY CLERK'S OFFICE,-,Licensing,55%,Public Document Copies,44,26,35
ASSESSMENT,-,Assessment and Re-assessment Project,55%,Permit Re-evaluated,2500,2800,2900
ASSESSMENT,-,Assessment and Re-assessment Project,55%,Properties Assessed or Re-evaluated,6090,2500,2800
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Assessment Appeals Processed,560,500,480
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Deed Changes Recorded,4100,4250,4500
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Tax Map Revisions,90,85,100
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Assessment Record Searches,30000,30500,31500
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Aged Exemptions Processed,4200,4100,4200
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Veteran Exemptions Processed,180,190,190
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Basic STAR Exemptions Processed,8600,8500,8700
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Enhanced STAR Exemptions Processed,4200,4100,4300
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Disabilities Exemptions Processed,280,280,280
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Non for Profit Exemptions Processed,860,830,900
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Other Exemptions Processed,950,980,1000
ASSESSMENT,-,Assessment Records and Exemption Processing,45%,Re-subdivision Reviews,50,60,60
LAW,-,Litigation (including Labor Arbitration and Negotiations),40%,New Claims,387,375,375
LAW,-,Legislation,14%,"Ordinances, General Ordinances, Local Laws and Resolutions",726,735,750
LAW,-,Zoning and Planning,4%,Public Hearings Attended,38,38,38
LAW,-,Zoning and Planning,4%,Litigation (Zoning/Zoning Appeals),0,5,5
LAW,-,Workers’ Compensation,2%,New Cases Processed --City only,219,196,200
LAW,-,Workers’ Compensation,2%,Hearings --City,167,130,130
LAW,-,Contracts and Leases,8%,Prepared/Reviewed/Approved,300,300,300
LAW,-,Tax Assessment and Certiorari,8%,Certiorari Proceedings: --Cases Filed,45,50,50
LAW,-,Tax Assessment and Certiorari,8%,Certiorari Proceedings Settled,15,18,20
LAW,-,Bankruptcy,8%,Cases filed,167,160,175
LAW,-,Bankruptcy,8%,Discharged,162,165,180
LAW,-,Real Property and Economic Development,12%,Loan Closings,20,30,30
LAW,-,Real Property and Economic Development,12%,Syracuse Urban Renewal Agency Resolutions,75,80,80
LAW,-,Real Property and Economic Development,12%,Sales of City-Owned Property; Deeds Prepared,74,80,85
LAW,-,Real Property and Economic Development,12%,"Sales of SURA Property, Deeds, and Contracts Prepared",0,16,20
LAW,-,Code Enforcement,12%,Total Housing/Code Enforcement Cases Filed,656,850,1000
LAW,-,Code Enforcement,12%,-Final Disposition,677,750,850
LAW,-,Code Enforcement,12%,Total Demolition Cases,5,20,20
LAW,-,Code Enforcement,12%,Judgments Collected,"$203,285","$250,000","$265,000"
LAW,-,Code Enforcement,12%,Licensing Cases/Hearings,3,5,5
LAW,-,Code Enforcement,12%,Police Nuisance Abatement Hearings,7,7,7
LAW,-,Code Enforcement,12%,Certificate of Use Cases,1,3,3
NEIGHBORHOOD & BUSINESS DEVELOPMENT,-,Business Development,50%,Predevelopment Meetings,36,39,40
NEIGHBORHOOD & BUSINESS DEVELOPMENT,-,Business Development,50%,Building Permit Construction Value,"$373,569,446","$318,573,638","$346,071,542"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,-,Neighborhood Development,50%,Emergency Home Repairs (Units),98,108,100
NEIGHBORHOOD & BUSINESS DEVELOPMENT,-,Neighborhood Development,50%,Direct Homebuyer Assistance (Units),61,83,67
NEIGHBORHOOD & BUSINESS DEVELOPMENT,-,Neighborhood Development,50%,Rental Housing Units Rehabbed/New,77,104,122
NEIGHBORHOOD & BUSINESS DEVELOPMENT,-,Neighborhood Development,50%,Vacant Housing Rehabbed (Units),30,28,32
NEIGHBORHOOD & BUSINESS DEVELOPMENT,-,Neighborhood Development,50%,Relocation Assistance (Households),77,104,110
NEIGHBORHOOD & BUSINESS DEVELOPMENT,-,Neighborhood Development,50%,Public Services (Individuals Served),440,462,448
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Contract Compliance and Minority Affairs,Contract Compliance: MBE/WBE Participation,85%,Contracts Monitored,95,128,100
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Contract Compliance and Minority Affairs,Contract Compliance: MBE/WBE Participation,85%,Projects Monitored,76,109,80
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Contract Compliance and Minority Affairs,Contract Compliance: MBE/WBE Participation,85%,Dollar Amount of Contracts and Projects,"$73,675,283","$272,891,165","$77,897,291"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Contract Compliance and Minority Affairs,Contract Compliance: MBE/WBE Participation,85%,Dollar Amount MBE/WBE,"$11,051,292","$40,666,406","$11,725,421"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Contract Compliance and Minority Affairs,Certifications,10%,Number of Applicants (Includes Certified),72,33,40
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Contract Compliance and Minority Affairs,Certifications,10%,Total Number Certified,65,20,20
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Contract Compliance and Minority Affairs,Certifications,10%,Total Number Certified to Date,136,150,170
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Contract Compliance and Minority Affairs,MWBE Support Services,5%,MWBE Technical Assistance,N/A,25,35
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Contract Compliance and Minority Affairs,MWBE Support Services,5%,Outreach Meetings,20,20,20
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Permits Issued,20%,Residential 1 & 2 Family: New Construction,60,10,13
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Permits Issued,20%,Residential 1 & 2 Family: Remodel/Renovate,427,375,400
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Permits Issued,20%,3 Residential/Commercial: --New Construction,10,12,12
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Permits Issued,20%,"3 Residential/Commercial: Remodel/Renovate",388,550,600
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Permits Issued,20%,Other Permits:Electrical,2008,2400,2500
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Permits Issued,20%,Other Permits: Mechanical,914,1000,1050
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Permits Issued,20%,Other Permits: Demolitions,110,120,120
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Permits Issued,20%,"Miscellaneous (Fences, Elevators, Decks, Signs and Banners)",586,475,500
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Certificates Issued,50%,Certificates of Ocupancy,239,251,264
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Certificates Issued,50%,Certificates of Adequacy,2,3,4
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Certificates Issued,50%,Certificates of Compliance,387,406,426
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Certificates Issued,50%,Certificates of Completion,4378,4597,4827
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Certificates Issued,50%,Certificates of Inspection,13,14,15
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Certificates Issued,50%,Elevator Certificates,1310,2500,2500
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Inspections Relative To,10%,"Referrals, Complaints, Permits, Certificates, and Vacant Lots",77125,79300,80981
NEIGHBORHOOD & BUSINESS DEVELOPMENT,Division of Code Enforcement,Rental Registry,20%,One & Two Family Non-Owner Occupied Properties,2498,1635,2000
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,Activity In Hours: --Aviation Department,960,900,1300
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,School District,2674,2700,3000
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,Garages,5,50,500
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,Other City Buildings,75,400,900
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,Energy/Environment Projects,59,100,300
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,Parks Facilities,1455,1100,2000
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,Sewer Project Inspection,719,500,800
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,TIP Related Projects Inspection,41,0,0
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,Street Cut Inspection,133,0,0
ENGINEERING,Technical Services,"Building Construction & Renovation: Design and Administration of Building, Inspection of Projects",25%,Other/Administrative,26,50,100
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,Activity in Hours Permits & Contract Reviews,2229,2000,2000
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,Street Lighting,883,950,1000
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,Sewers/Culverts,718,1300,1500
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,TIP,3784,3400,4000
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,Other Projects,1563,2000,2000
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,Retaining Walls,22,50,200
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,Field Investigations,137,200,200
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,MS4 Regulations – Compliance,249,190,200
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,Permit Desk,80,0,0
ENGINEERING,Technical Services,"Infrastructure: Design and Project Administration, Contract Service Management",24%,Other/Administrative,830,1000,800
ENGINEERING,Technical Services,Mapping & Surveying,30%,"Activity in Hours Geographic Information System","1,138",1150,1300
ENGINEERING,Technical Services,Mapping & Surveying,30%,DPW Street Reconstruction,1885,2100,2150
ENGINEERING,Technical Services,Mapping & Surveying,30%,General Surveying,1926,1500,2200
