Department,Sub-Department,Billing Classification,Billing Code,"Description
",2011/2012,2012/2013,2012/2013,2013/2014
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF QUALITY CONTROL (SYRASTAT),400 CONTRACTUAL SERVICES,415,,"$123,568",$0,$0,$0
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF QUALITY CONTROL (SYRASTAT),400 CONTRACTUAL SERVICES,416,,$0,$0,$0,$0
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF QUALITY CONTROL (SYRASTAT),400 CONTRACTUAL SERVICES,-,TOTAL: ,"$124,613",$0,$0,$0
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,100 PERSONAL SERVICES,101,Salaries ,"$114,202 ","$109,813 ","$109,814 ","$109,813"
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,100 PERSONAL SERVICES,103,Temporary Services,$144,$0,$0,$0
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,100 PERSONAL SERVICES,110,Uniform Allowance ,$175 ,$175,$175,$175
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$1,232 ",$500 ,$500 ,$500 
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,$103 ,$300 ,$150 ,$300
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,"$1,045 ",$300 ,$300,$300
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$45,210 ","$37,954 ","$3,405 ",$0
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$10,$0 ,$190 ,$0
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$97,$60,$60,$60
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF PURCHASE,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$162,218 ","$149,102 ","$114,594 ","$111,148"
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,100 PERSONAL SERVICES,101,Salaries,"$360,408 ","$419,644 ","$411,317 ","$405,471"
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,100 PERSONAL SERVICES,103,Temporary Services,"$20,479 ","$30,000 ","$20,000 ","$15,000"
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,100 PERSONAL SERVICES,106,Car Allowance,"$4,332 ","$4,400 ","$4,400 ","$4,400"
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,200 EQUIPMENT,202,Office Equipment & Furnishings,$0 ,"$1,000",$500 ,$0
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,400 CONTRACTUAL SERVICES,403,Office Supplies,"$2,905 ","$3,000 ","$3,000","$3,000"
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,400 CONTRACTUAL SERVICES,405,Functional Operating Supplies & Expenses,$140,$325,$325,$325
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,400 CONTRACTUAL SERVICES,407,Equipment Repair Supplies & Expenses,$0,$300,$1200,$1200
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,400 CONTRACTUAL SERVICES,415,"Rental, Professional & Contractual Services","$16,875 ","$6,150 ","$5,000 ","$6,195"
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,400 CONTRACTUAL SERVICES,416,"Travel, Training & Development","$3,904 ","$4,500 ","$4,500 ","$6,000"
EXECUTIVE,OFFICE OF PERSONNEL AND LABOR RELATIONS,400 CONTRACTUAL SERVICES,-,TOTAL: ,"$409,043 ","$469,319 ","$450,242 ","$441,591"
EXECUTIVE,BUREAU OF RESEARCH ,100 PERSONAL SERVICES,101,Salaries ,"$157,807 ","$225,425","$182,408 ","$200,431"
EXECUTIVE,BUREAU OF RESEARCH ,200 EQUIPMENT,202,Office Equipment & Furnishings,$0 ,$450 ,$0 ,$450
EXECUTIVE,BUREAU OF RESEARCH ,400 CONTRACTUAL EXPENSES,403,Office Supplies,$238 ,"$1,000 ",$885 ,"$1,000"
EXECUTIVE,BUREAU OF RESEARCH ,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,$102 ,$200 ,$150,$200
EXECUTIVE,BUREAU OF RESEARCH ,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0,$300,$0,$0
EXECUTIVE,BUREAU OF RESEARCH ,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$78,546 ","$101,805","$52,242 ","$2,500"
EXECUTIVE,BUREAU OF RESEARCH ,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$588 ,"$2,350 ","$1,190 ","$2,350"
EXECUTIVE,BUREAU OF RESEARCH ,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$0 ,$300 ,$0,$0
EXECUTIVE,BUREAU OF RESEARCH ,400 CONTRACTUAL EXPENSES,-,TOTAL:,"$237,281 ","$331,830","$236,875 ","$206,931"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,100 PERSONAL SERVICES,101,Salaries ,"$385,436","$425,479 ","$380,986 ","$406,572"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,100 PERSONAL SERVICES,104,Overtime,$0 ,"$3,000 ","$1,750 ","$3,000"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,100 PERSONAL SERVICES,106,Car Allowance,"$2,208 ","$2,200 ","$2,200 ","$2,200"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,100 PERSONAL SERVICES,191,Less Reimbursements From Other Funds,"($31,807) ","($30,162)","($30,162) ","($32,650)"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,200 EQUIPMENT,202,Office Equipment & Furnishings,$0,$0,$0,$300
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,400 CONTRACTUAL EXPENSES,403,Office Supplies,$353 ,$550 ,$500,$700
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$4,557 ","$6,924 ","$4,600 ","$5,990"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,"$38,202 ","$53,081 ","$45,000 ","$60,000"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$328,415 ","$677,038 ","$577,000","$695,651"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development","$12,170","$20,000 ","$20,000 ","$24,000"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$0 ,$300 ,$50,$0
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,400 CONTRACTUAL EXPENSES,435,Payments to Other Governments,"$28,417",$0,$0,$0
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,400 CONTRACTUAL EXPENSES,491,Less: Reimbursements From Other Funds,"($26,892) ","($89,350)","($26,000)","($26,000)"
EXECUTIVE,BUREAU OF INFORMATION TECHNOLOGY,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$741,059 ","$1,069,060 ","$975,924 ","$1,139,763"
FINANCE,BUREAU OF THE TREASURY,100 PERSONAL SERVICES,101,Salaries ,"$322,503 ","$327,766 ","$340,180 ","$361,289"
FINANCE,BUREAU OF THE TREASURY,100 PERSONAL SERVICES,103,Temporary Services,"$2,108 ","$2,500 ","$2,200 ","$2,500"
FINANCE,BUREAU OF THE TREASURY,100 PERSONAL SERVICES,104,Overtime,$0 ,$500 ,$0 ,$500
FINANCE,BUREAU OF THE TREASURY,100 PERSONAL SERVICES,106,Car Allowance,"$1,305 ","$1,300 ","$1,300 ","$1,300"
FINANCE,BUREAU OF THE TREASURY,200 EQUIPMENT,202,Office Equipment & Furnishings,$0 ,"$3,600 ","$3,600 ","$3,600"
FINANCE,BUREAU OF THE TREASURY,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$3,297 ","$6,850 ","$4,500 ","$6,850"
FINANCE,BUREAU OF THE TREASURY,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$2,133 ","$3,000 ","$2,640 ","$3,000"
FINANCE,BUREAU OF THE TREASURY,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$627 ,"$1,300 ",$800 ,"$1,000"
FINANCE,BUREAU OF THE TREASURY,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$231,623 ","$242,021 ","$231,836 ","$337,690"
FINANCE,BUREAU OF THE TREASURY,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$682 ,$750 ,$650 ,$855
FINANCE,BUREAU OF THE TREASURY,400 CONTRACTUAL EXPENSES,430,Payments to Other Governments,"$24,742 ","$30,000 ","$30,000 ","$30,000"
FINANCE,BUREAU OF THE TREASURY,400 CONTRACTUAL EXPENSES,-,TOTAL:,"$589,020","$619,587 ","$617,706 ","$748,584"
FINANCE,BUREAU OF ACCOUNTS,100 PERSONAL SERVICES,101,Salaries,"$503,537 ","$540,042 ","$516,220","$541,466"
FINANCE,BUREAU OF ACCOUNTS,100 PERSONAL SERVICES,104,Overtime,"$1,864 ","$10,000","$4,000 ","$8,000"
FINANCE,BUREAU OF ACCOUNTS,200 EQUIPMENT,202,Office Equipment & Furnishings,$170 ,"$3,300 ","$3,300","$2,000"
FINANCE,BUREAU OF ACCOUNTS,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$2,052","$4,200 ","$3,600 ","$4,900"
FINANCE,BUREAU OF ACCOUNTS,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0 ,$300 ,$400 ,$400
FINANCE,BUREAU OF ACCOUNTS,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$98,715 ","$118,455","$105,467","$103,416"
FINANCE,BUREAU OF ACCOUNTS,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development","$4,676","$11,500 ","$11,500 ","$11,700"
FINANCE,BUREAU OF ACCOUNTS,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$0,$200,$0,$0
FINANCE,BUREAU OF ACCOUNTS,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$611,014","$687,997 ","$644,487","$671,882"
FINANCE,PARKING VIOLATIONS BUREAU,100 PERSONAL SERVICES,101,Salaries,"$301,650 ","$315,426 ","$332,088","$375,906"
FINANCE,PARKING VIOLATIONS BUREAU,100 PERSONAL SERVICES,104,Overtime,"$8,076 ","$5,000","$3,000","$5,000"
FINANCE,PARKING VIOLATIONS BUREAU,200 EQUIPMENT,202,Office Equipment & Furnishings,$0,$0,$0,$600
FINANCE,PARKING VIOLATIONS BUREAU,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$1,998","$2,000 ","$1,980 ","$3,000"
FINANCE,PARKING VIOLATIONS BUREAU,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$6,434 ","$8,000 ","$6,800","$8,000"
FINANCE,PARKING VIOLATIONS BUREAU,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$695 ,$900,$900,$900
FINANCE,PARKING VIOLATIONS BUREAU,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$334,349 ","$404,995 ","$307,283","$512,415"
FINANCE,PARKING VIOLATIONS BUREAU,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development ",$0,$0,$0,$1500
FINANCE,PARKING VIOLATIONS BUREAU,400 CONTRACTUAL EXPENSES,430,Payments to Other Governments,"$7,608 ","$22,500 ","$7,800 ","$22,500"
FINANCE,PARKING VIOLATIONS BUREAU,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$660,810 ","$758,821 ","$659,851 ","$929,821"
AUDIT,DEPARTMENT OF AUDIT,100 PERSONAL SERVICES,101,Salaries ,"$163,584","$179,242 ","$135,633 ","$173,759"
AUDIT,DEPARTMENT OF AUDIT,100 PERSONAL SERVICES,103,Temporary Services,$0 ,"$3,700 ",$0,"$3,700 "
AUDIT,DEPARTMENT OF AUDIT,100 PERSONAL SERVICES,106,Car Allowance,"$1,244",$0,$0,$0
AUDIT,DEPARTMENT OF AUDIT,200 EQUIPMENT,202,Office Equipment & Furnishings,$388,"$1,000 ",$0 ,"$1,000"
AUDIT,DEPARTMENT OF AUDIT,400 CONTRACTUAL EXPENSES,403,Office Supplies,$353 ,"$1,100",$450 ,"$1,100"
AUDIT,DEPARTMENT OF AUDIT,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$1,185 ","$1,400","$23,900 ","$1,400"
AUDIT,DEPARTMENT OF AUDIT,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development ","$1,312","$4,700 ","$1,500","$4,700"
AUDIT,DEPARTMENT OF AUDIT,400 CONTRACTUAL EXPENSES,-,TOTAL,"$168,066 ","$191,142 ","$161,483 ","$185,659"
CITY CLERK'S OFFICE,CITY CLERK'S OFFICE,100 PERSONAL SERVICES,101,Salaries ,"$280,773 ","$275,266 ","$275,266","$278,296"
CITY CLERK'S OFFICE,CITY CLERK'S OFFICE,100 PERSONAL SERVICES,103,Temporary Services,$0 ,"$18,000 ",$0 ,"$15,600"
CITY CLERK'S OFFICE,CITY CLERK'S OFFICE,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$2,477 ","$3,400 ","$3,500","$3,400"
CITY CLERK'S OFFICE,CITY CLERK'S OFFICE,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0 ,$250 ,$200,$250
CITY CLERK'S OFFICE,CITY CLERK'S OFFICE,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$8,048 ","$10,250 ","$10,250","$10,250"
CITY CLERK'S OFFICE,CITY CLERK'S OFFICE,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$243 ,"$1,150 ","$1,100","$1,150"
CITY CLERK'S OFFICE,CITY CLERK'S OFFICE,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$0,$0,$0,$500
CITY CLERK'S OFFICE,CITY CLERK'S OFFICE,400 CONTRACTUAL EXPENSES,-,TOTAL,"$291,541 ","$308,316 ","$290,316","$309,446"
ASSESSMENT,DEPARTMENT OF ASSESSMENT,100 PERSONAL SERVICES,101,Salaries ,"$406,041 ","$414,927 ","$404,371","$470,235"
ASSESSMENT,DEPARTMENT OF ASSESSMENT,100 PERSONAL SERVICES,103,Temporary Services,$818,"$2,500",$800 ,"$2,000"
ASSESSMENT,DEPARTMENT OF ASSESSMENT,200 EQUIPMENT,202,Office Equipment & Furnishings,$726,"$5,000","$5,000 ","$5,000"
ASSESSMENT,DEPARTMENT OF ASSESSMENT,400 CONTRACTUAL EXPENSES,401,Motor Equipment Operating Supplies,$418,"$2,000 ","$1,000 ","$1,000"
ASSESSMENT,DEPARTMENT OF ASSESSMENT,400 CONTRACTUAL EXPENSES,402,Motor Equipment Repair Supplies,$0,$800,$800 ,$800
ASSESSMENT,DEPARTMENT OF ASSESSMENT,400 CONTRACTUAL EXPENSES,403,Office Supplies ,"$1,513 ","$3,000","$3,000","$3,000"
ASSESSMENT,DEPARTMENT OF ASSESSMENT,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,$193 ,$300 ,$250 ,$300
ASSESSMENT,DEPARTMENT OF ASSESSMENT,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$25,777 ","$50,000 ","$50,000 ","$60,000"
ASSESSMENT,DEPARTMENT OF ASSESSMENT,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development ","$2,233 ","$5,000 ","$4,000 ","$4,000 "
ASSESSMENT,DEPARTMENT OF ASSESSMENT,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$0,$300,$200,$300
ASSESSMENT,DEPARTMENT OF ASSESSMENT,400 CONTRACTUAL EXPENSES,-,TOTAL,"$437,719","$483,827 ","$469,421 ","$546,635"
LAW,DEPARTMENT OF LAW,100 PERSONAL SERVICES,101,Salaries,"$984,898 ","$1,067,852","$1,038,634 ","$1,143,086"
LAW,DEPARTMENT OF LAW,100 PERSONAL SERVICES,103,Temporary Services,"$1,050 ",$850,"$5,850 ","$10,500"
LAW,DEPARTMENT OF LAW,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,"($218,484)","($172,708) ","($172,708) ","($154,304)"
LAW,DEPARTMENT OF LAW,200 EQUIPMENT,202,Office Equipment & Furnishings,$894 ,"$1,500 ","$8,500","$1,500"
LAW,DEPARTMENT OF LAW,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$9,256 ","$10,000 ","$10,000","$10,000"
LAW,DEPARTMENT OF LAW,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$61,455 ","$80,500 ","$68,500 ","$80,500"
LAW,DEPARTMENT OF LAW,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$362 ,$700 ,$0 ,$700
LAW,DEPARTMENT OF LAW,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$674,264 ","$716,523","$812,500 ","$818,834"
LAW,DEPARTMENT OF LAW,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development ","$7,390 ","$8,500 ","$8,500","$10,000"
LAW,DEPARTMENT OF LAW,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$9,$70,$50,$70
LAW,DEPARTMENT OF LAW,400 CONTRACTUAL EXPENSES,491,Less: Reimbursement From Other Funds,"($25,785) ","($20,034) ","($20,034)","($22,888)"
LAW,DEPARTMENT OF LAW,400 CONTRACTUAL EXPENSES,-,TOTAL,"$1,495,309 ","$1,693,753 ","$1,759,792 ","$1,897,998"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DEPARTMENT OF NEIGHBORHOOD & BUSINESS DEVELOPMENT,100 PERSONAL SERVICES,101,Salaries ,"$84,768 ","$84,443 ","$84,443 ","$84,443"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DEPARTMENT OF NEIGHBORHOOD & BUSINESS DEVELOPMENT,100 PERSONAL SERVICES,191,Less: Reimbursements From Other Funds,"($107,132) ","($42,222)","($42,222) ","($75,999)"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DEPARTMENT OF NEIGHBORHOOD & BUSINESS DEVELOPMENT,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$288,008 ","$300,428 ","$250,528 ","$335,140"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DEPARTMENT OF NEIGHBORHOOD & BUSINESS DEVELOPMENT,100 PERSONAL SERVICES,101,Salaries ,"$84,768 ","$84,443","$84,443","$84,443"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DEPARTMENT OF NEIGHBORHOOD & BUSINESS DEVELOPMENT,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,"($107,132)","($42,222)","($42,222)","($75,999)"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DEPARTMENT OF NEIGHBORHOOD & BUSINESS DEVELOPMENT,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$288,008 ","$300,428","$250,528 ","$335,140"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DEPARTMENT OF NEIGHBORHOOD & BUSINESS DEVELOPMENT,400 CONTRACTUAL EXPENSES,-,TOTAL,"$265,644","$342,649","$292,749 ","$343,584"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CONTRACT COMPLIANCE AND MINORITY AFFAIRS,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services",$0,"$70,301","$65,591 ","$71,515"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CONTRACT COMPLIANCE AND MINORITY AFFAIRS,400 CONTRACTUAL EXPENSES,-,TOTAL,$0 ,"$70,301 ","$65,591 ","$71,515"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,100 PERSONAL SERVICES,101,Salaries ,"$812,352 ","$859,365 ","$839,545 ","$1,156,520"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,100 PERSONAL SERVICES,103,Temporary Services,"$33,750","$39,760 ","$39,760 ","$39,813"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,100 PERSONAL SERVICES,104,Overtime,$0,$0,$650 ,$0
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,100 PERSONAL SERVICES,106,Car Allowance,"$26,094 ","$28,600 ","$24,200","$37,400"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,200 EQUIPMENT,202,Office Equipment & Furnishings,$198 ,"$5,000 ","$4,962","$5,000"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock",$532,"$1,000","$1,000","$1,000"
