Department,Office,Division,Position,Grade,Salary Range - Low,Salary Range-High,"Headcount-Current 
2015-2016","Headcount-Projected
2016-2017"
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,DIVISION OF BUDGET,Director of Management & Budget,22E,"$78,750","$100,378",1,1
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,DIVISION OF BUDGET,Assistant Budget Director,17E,"$53,019","$69,393",1,1
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,DIVISION OF BUDGET,Budget Analyst III,16,"$56,079","$63,541",1,1
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,DIVISION OF BUDGET,Management Analyst,16,"$56,079","$63,541",1,1
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,DIVISION OF BUDGET,Budget Analyst II,13,"$46,002","$52,768",0,1
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,DIVISION OF BUDGET,Budget Analyst I,11,"$40,221","$46,301",1,0
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,DIVISION OF BUDGET,Information Aide,1,"$23,369","$27,887",0,1
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,DIVISION OF PURCHASE,Purchasing Contract Clerk,10,"$37,678","$43,761",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Director of Labor Management Services,21E,"$70,062","$94,124",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Asst. Director of Labor Management Services,16E,"$47,675","$64,707",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Personnel Analyst II,14,"$49,127","$55,898",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Multi-Cultural Affairs/Diversity Specialist,13,"$46,002","$52,768",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Administrative Assistant,10,"$37,678","$43,761",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Employee Insurance Representative,10,"$37,678","$43,761",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Personnel Analyst I,9,"$35,249","$40,615",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Asst. Employee Insurance Representative,7,"$30,934","$36,315",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Clerk II,4,"$26,142","$30,825",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Clerk I,1,"$23,369","$27,887",0,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Personnel Analyst (Temporary),FLAT,"$30,000","$30,000",1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Clerk I (Temporary),FLAT,$12.40,$12.40,1,1
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,Summer Aide (Temporary),FLAT,$10.00,$10.00,3,3
EXECUTIVE DEPARTMENT,BUREAU OF RESEARCH,BUREAU OF RESEARCH,Director of Research,19E,"$63,427","$84,405",1,1
EXECUTIVE DEPARTMENT,BUREAU OF RESEARCH,BUREAU OF RESEARCH,Director /Community Based Violence Prevention,19E,"$63,427","$84,405",1,0
EXECUTIVE DEPARTMENT,BUREAU OF RESEARCH,BUREAU OF RESEARCH,Management Analyst,16,"$56,079","$63,541",2,2
EXECUTIVE DEPARTMENT,BUREAU OF RESEARCH,BUREAU OF RESEARCH,Grants Procurement Specialist,11,"$40,221","$46,301",1,1
EXECUTIVE DEPARTMENT,BUREAU OF RESEARCH,BUREAU OF RESEARCH,Clerk II,4,"$26,142","$30,825",1,1
EXECUTIVE DEPARTMENT,SYRACUSE OPPORTUNITY WORKS,SYRACUSE OPPORTUNITY WORKS,Summer Aide (Temporary),FLAT,$9.00,$14.00,1,1
EXECUTIVE DEPARTMENT,BUREAU OF INFORMATION TECHNOLOGY,BUREAU OF INFORMATION TECHNOLOGY,Director of Information Technology,20E,"$69,874","$90,052",1,1
EXECUTIVE DEPARTMENT,BUREAU OF INFORMATION TECHNOLOGY,BUREAU OF INFORMATION TECHNOLOGY,Data Processing Project Manager,18E,"$57,896","76,870",1,1
EXECUTIVE DEPARTMENT,BUREAU OF INFORMATION TECHNOLOGY,BUREAU OF INFORMATION TECHNOLOGY,Programmer Analyst,18E,"$57,896","$76,870",2,2
EXECUTIVE DEPARTMENT,BUREAU OF INFORMATION TECHNOLOGY,BUREAU OF INFORMATION TECHNOLOGY,Network Administrator,16,"$56,079","$63,541",1,2
EXECUTIVE DEPARTMENT,BUREAU OF INFORMATION TECHNOLOGY,BUREAU OF INFORMATION TECHNOLOGY,Office Automation Analyst,12,"$42,970","$49,043",2,2
EXECUTIVE DEPARTMENT,BUREAU OF INFORMATION TECHNOLOGY,BUREAU OF INFORMATION TECHNOLOGY,Computer Equip. Maintenance Specialist,10,"$37,678","$43,761",1,1
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,1st Deputy Commissioner of Finance,19E,"$63,427","$84,405",1,1
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,Administrative Assistant,10,"$37,678","$43,761",1,1
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,Control Clerk,8,"$32,894","$38,273",3,3
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,Clerk III,8,"$32,894","$38,273",1,1
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,Tax Clerk,7,"$30,934","$36,315",1,1
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,Account Clerk II,6,"$29,086","$33,770",1,1
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,Cashier,6,"$29,086","$33,770",2,2
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,Information Aide,1,"$23,369","$27,887",2,2
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,Clerk,FLAT,$15.92/Hr.,$15.92/Hr.,1,2
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,Bingo Inspectors,FLAT,"$2,500","$2,500",1,1
DEPARTMENT OF FINANCE,BUREAU OF ACCOUNTS,BUREAU OF ACCOUNTS,Commissioner of Finance,22E,"$78,750","$100,378",1,1
DEPARTMENT OF FINANCE,BUREAU OF ACCOUNTS,BUREAU OF ACCOUNTS,Systems Accounting Manager,17E,"$53,019","$69,393",1,1
DEPARTMENT OF FINANCE,BUREAU OF ACCOUNTS,BUREAU OF ACCOUNTS,Accountant II,15,"$52,467","$59,231",1,1
DEPARTMENT OF FINANCE,BUREAU OF ACCOUNTS,BUREAU OF ACCOUNTS,Secretary to the Commissioner,12,"$42,970","$49,043",1,1
DEPARTMENT OF FINANCE,BUREAU OF ACCOUNTS,BUREAU OF ACCOUNTS,Accountant I,11,"$40,221","$46,301",4,4
DEPARTMENT OF FINANCE,BUREAU OF ACCOUNTS,BUREAU OF ACCOUNTS,Payroll Clerk,10,"$37,678","$43,761",2,2
DEPARTMENT OF FINANCE,BUREAU OF ACCOUNTS,BUREAU OF ACCOUNTS,Examiner of Claims,9,"$35,249","$40,615",2,2
DEPARTMENT OF FINANCE,PARKING VIOLATIONS BUREAU,PARKING VIOLATIONS BUREAU,Deputy Commissioner of Finance,18E,"$57,896","$76,870",1,1
DEPARTMENT OF FINANCE,PARKING VIOLATIONS BUREAU,PARKING VIOLATIONS BUREAU,Parking Ticket Collection Supervisor,16E,"$47,675","$64,707",1,1
DEPARTMENT OF FINANCE,PARKING VIOLATIONS BUREAU,PARKING VIOLATIONS BUREAU,Administrative Assistant,10,"$37,678","$43,761",1,1
DEPARTMENT OF FINANCE,PARKING VIOLATIONS BUREAU,PARKING VIOLATIONS BUREAU,Clerk III,8,"$32,894","$38,273",1,1
DEPARTMENT OF FINANCE,PARKING VIOLATIONS BUREAU,PARKING VIOLATIONS BUREAU,Cashier,6,"$29,086","$33,770",2,2
DEPARTMENT OF FINANCE,PARKING VIOLATIONS BUREAU,PARKING VIOLATIONS BUREAU,Data Entry Equipment Operator ,2,"$23,963","$28,476",2,2
DEPARTMENT OF FINANCE,PARKING VIOLATIONS BUREAU,PARKING VIOLATIONS BUREAU,Typist I,2,"$23,963","$28,476",1,1
DEPARTMENT OF FINANCE,PARKING VIOLATIONS BUREAU,PARKING VIOLATIONS BUREAU,Information Aide,1,"$23,369","$27,887",2,2
DEPARTMENT OF AUDIT,DEPARTMENT OF AUDIT,DEPARTMENT OF AUDIT,City Auditor,FLAT ,"$53,101","$53,101",1,1
DEPARTMENT OF AUDIT,DEPARTMENT OF AUDIT,DEPARTMENT OF AUDIT,Deputy City Auditor,16E,"$47,675","$64,707",1,1
DEPARTMENT OF AUDIT,DEPARTMENT OF AUDIT,DEPARTMENT OF AUDIT,Auditor I,11,"$40,221","$46,301",2,2
DEPARTMENT OF AUDIT,DEPARTMENT OF AUDIT,DEPARTMENT OF AUDIT,Summer Aide (Temporary),FLAT,$10.00/Hr.,$10.00/Hr.,1,1
CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,City Clerk,21E,"$70,062","$94,124",1,1
CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,Deputy City Clerk,16E,"$47,675","$64,707",1,1
CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,Secretary to the City Clerk,13,"$46,002","$52,768",1,1
CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,Administrative Analyst,11,"$40,221","$46,301",1,1
CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,Administrative Assistant,10,"$37,678","$43,761",1,1
CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,CITY CLERK´S OFFICE,Clerk I (Temporary),FLAT,"$10,000/Yr","$10,000/Yr",1,2
DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,Commissioner of Assessment,21E,"$70,062","$94,124",1,1
DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,Deputy Commissioner of Assessment,17E,"$53,019","$69,393",1,1
DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,Senior Appraiser,15,"$52,467","$59,231",2,2
DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,Real Property Appraiser,13,"$46,002","$52,768",1,1
DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,Secretary to Commissioner,11,"$40,221","$46,301",1,1
DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,Control Clerk,8,"$32,894","$38,273",1,1
DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,Assessment Clerk,4,"$26,142","$30,825",2,2
DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,Information Aide,1,"$23,369","$27,887",1,1
DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,DEPARTMENT OF ASSESSMENT,Valuation Data Manager (Temporary),FLAT,"$2,000/Yr.","$2,000/Yr.",1,0
DEPARTMENT OF ASSESSMENT,BOARD OF ASSESSMENT REVIEW,BOARD OF ASSESSMENT REVIEW,Board Member,FLAT,$100/Day,$100/Day,5,5
DEPARTMENT OF ZONING,BOARD OF ZONING,BOARD OF ZONING,Board Member,FLAT,$75/Meeting,$75/Meeting,7,7
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Corporation Counsel VI,23E,"$89,225","$115,480",1,1
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Assistant Corporation Counsel V,22E,"$78,750","$100,378",1,1
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,1st Assistant Corporation Counsel,22E,"$78,750","$100,378",1,1
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Assistant Corporation Counsel IV,19E,"$63,427","$84,405",1,1
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Assistant Corporation Counsel III,18E,"$57,896","$76,870",4,4
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Assistant Corporation Counsel II,17E,"$53,019","$69,393",4,5
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Assistant Corporation Counsel I,15E,"$42,571","$55,132",5,3
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Paralegal,12E,"$32,294","$44,041",4,6
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Secretary to the Corporation Counsel,11,"$40,221","$46,301",1,1
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Information Aide,1,"$22,991","$27,340",1,1
DEPARTMENT OF LAW,DEPARTMENT OF LAW,DEPARTMENT OF LAW,Law Clerk (Temporary),FLAT,$10.00/Hr.,$10.00/Hr.,3,3
DEPARTMENT OF NEIGHBORHOOD AND BUSINESS DEVELOPMENT,DEPARTMENT OF NEIGHBORHOOD AND BUSINESS DEVELOPMENT,DEPARTMENT OF NEIGHBORHOOD AND BUSINESS DEVELOPMENT,Commissioner of Neighborhood & Business,22E,"$78,750","$100,378",1,1
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Deputy Director of Code Enforcement,17E,"$52,019","$69,393",1,1
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Struct. & New Const. Examiner-Electrical,13,"$45,100","$52,768",14,13
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Electrical Inspector II,13,"$45,100","$52,768",3,3
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Plans Examiner II,13,"$45,100","$52,768",2,2
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Plans Examiner I,11,"$39,432","$46,301",1,1
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Housing Inspector,10,"$36,939","$43,761",3,5
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Control Clerk,8,"$32,249","$38,273",3,3
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Administrative Aide,7,"$30,327","$36,315",8,8
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Information Aide,1,"$22,911","$27,887",2,2
DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,DIVISION OF CODE ENFORCEMENT,Summer Laborer,FLAT,$10.00/Hr,$10.00/Hr,6,7
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,City Engineer,21E,"$70,062","$94,124",1,1
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Deputy City Engineer,18E,"$57,896","$76,870",1,1
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Division Engineer-Design & Construction,17M,"$56,972","$74,565",1,1
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Division Engineer-Mapping,17M,"$56,972","$74,565",1,1
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Division Engineer -Building,17M,"$56,972","$74,565",1,1
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Facilities Engineer,16M,"$50,226","$68,805",7,7
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Fiscal Officer,16E,"$47,675","$64,707",1,1
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Civil Engineer II,15,"$52,467","$59,231",1,1
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,GIS Specialist II,15,"$52,467","$59,231",1,1
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Civil Engineer I,13,"$46,002","$52,768",5,5
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Engineering Technician II,12,"$46,002","$52,728",0,2
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Clerk of the Works I,11,"$40,221","$46,301",2,2
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Engineering Technician I,10,"$37,678","$43,761",2,2
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Administrative Assistant,10,"$37,678","$43,761",1,1
DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,DEPARTMENT OF ENGINEERING. TECHNICAL SERVICES,Facilities Engineer,FLAT,"$30,000","$30,000",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Commissioner of Public Works,21E,"$70,062","$94,124",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,First Deputy Commissioner (General),18E,"$57,896","$76,870",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Deputy Commissioner (Physical),17E,"$53,019","$69,393",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Project Coordinator,17E,"$53,019","$69,393",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Administrative Officer,16E,"$47,675","$64,707",1,0
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Fiscal Officer,16E,"$47,675","$64,707",0,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Network Administrator,16,"$56,079","$63,541",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Personnel Administrator,14,"$49,127","$55,898",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Secretary to the Commissioner,11,"$40,221","$46,301",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Accountant I,11,"$40,221","$46,301",1,2
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Clerk III,8,"$32,894","$38,273",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Control Clerk,8,"$32,894","$38,273",0,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Account Clerk II,6,"$29,086","$33,770",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Account Clerk I,4,"$26,142","$30,825",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Clerk II,4,"$26,142","$30,825",1,0
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Information Aide,1,"$23,369","$27,887",1,1
DEPARTMENT OF PUBLIC WORKS,MAIN OFFICE,MAIN OFFICE,Deputy Commissioner (Technical) (Temporary),FLAT,"$30,000","$30,000",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,Public Program Supervisor,16M,"$50,226","$68,805",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,Complaint Investigator,8,"$32,894","$38,273",3,3
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,Labor Crewleader,22,$19.07,$19.07,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,MEO II,12,$16.58,$17.48,0,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,Motor Equipment Operator I,8,$15.83,$16.75,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,Laborer II,6,$15.53,$16.41,3,3
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,Laborer I,3,$15.11,$15.99,5,7
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,Summer Laborer (Temporary),FLAT,$9.00/Hr.,$9.00/Hr.,12,8
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Director of Building Maint. & Operations,16M,"$50,226","$68,805",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Building Maintenance Supervisor,15M,"$44,874","$59,720",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Maintenance Crewleader,28,$20.17,$20.17,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Building Maintenance Crewleader,28,$20.17,$20.17,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Clerk II,4,"$26,142","$30,825",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Maintenance Worker I,8,$15.83,$16.75,4,4
